CountyID,CountyNames,AllAgesPovertyPercent
48403,Sabine County (TX),20.2
48405,San Augustine County (TX),21.6
48407,San Jacinto County (TX),18.2
48409,San Patricio County (TX),19
48411,San Saba County (TX),17.1
48413,Schleicher County (TX),16.2
48415,Scurry County (TX),17.2
48417,Shackelford County (TX),14.2
48419,Shelby County (TX),20.8
48421,Sherman County (TX),12.5
48423,Smith County (TX),15.6
48425,Somervell County (TX),10.4
48427,Starr County (TX),32
48429,Stephens County (TX),19.5
48431,Sterling County (TX),12.2
48433,Stonewall County (TX),15.3
48435,Sutton County (TX),14.3
48437,Swisher County (TX),19.9
48439,Tarrant County (TX),11.6
48441,Taylor County (TX),15.2
48443,Terrell County (TX),19.3
48445,Terry County (TX),21.5
48447,Throckmorton County (TX),15.4
48449,Titus County (TX),16.3
48451,Tom Green County (TX),13.5
48453,Travis County (TX),11.5
48455,Trinity County (TX),21
48457,Tyler County (TX),19.6
48459,Upshur County (TX),16.4
48461,Upton County (TX),14
48463,Uvalde County (TX),20.5
48465,Val Verde County (TX),21.4
48467,Van Zandt County (TX),13.1
48469,Victoria County (TX),15.7
48471,Walker County (TX),23.1
48473,Waller County (TX),15.5
48475,Ward County (TX),15.1
48477,Washington County (TX),12.9
48479,Webb County (TX),27.3
48481,Wharton County (TX),16
48483,Wheeler County (TX),14.5
48485,Wichita County (TX),16.8
48487,Wilbarger County (TX),16.4
48489,Willacy County (TX),35
48491,Williamson County (TX),6.1
48493,Wilson County (TX),9.1
48495,Winkler County (TX),14.7
48497,Wise County (TX),11.1
48499,Wood County (TX),15.2
48501,Yoakum County (TX),12
48503,Young County (TX),15.8
48505,Zapata County (TX),30
48507,Zavala County (TX),31.6
